Law Id,State,Title,Text,Enacted Date,Amended Date,Recent?,Sequence Number,Type,Agency,Significant Update Date,Expired Date,Archived Date,Repealed Date,Topic,Technology Categories,Incentive Categories,Regulation Categories,User Categories,References
4241,CA,Plug-In Electric Vehicle (PEV) Charging Rate Reduction - SMUD,"The Sacramento Municipal Utility District (SMUD) offers a discounted
rate to residential customers for electricity used to charge PEVs. For
more information, see the SMUD [Time-of-Day
Rate](https://www.smud.org/en/Rate-Information/Time-of-Day-rates/Time-of-Day-5-8pm-Rate)
website.
",,,FALSE,149,Utility/Private Incentives,,2018-11-14 16:18:22 UTC,,,,,ELEC|PHEV,OTHER,,IND,
4246,CA,Alternative Fuel Tax,"The excise tax imposed on compressed natural gas (CNG), liquefied
natural gas (LNG), and propane used to operate a vehicle can be paid
through an annual flat rate sticker tax based on the following vehicle
weights:

Unladen Weight

Fee

All passenger cars and other vehicles 4,000 pounds (lbs.) or less

\$36

More than 4,000 lbs. but less than 8,001 lbs.

\$72

More than 8,000 lbs. but less than 12,001 lbs.

\$120

12,001 lbs. or more

\$168

Alternatively, owners and operators may pay an excise tax on CNG of
\$0.0887 per gasoline gallon equivalent (GGE) measured at standard
pressure and temperature, \$0.1017 for each diesel gallon equivalent
(DGE) of LNG, and \$0.06 per gallon of propane. One GGE is equal to
126.67 cubic feet or 5.66 lbs. of CNG and one DGE is equal to 6.06 lbs.
of LNG. The excise tax on ethanol and methanol fuel blends containing up
to 15% gasoline or diesel fuel is one-half the tax on gasoline and
diesel prescribed by [California Revenue and Taxation
Code](http://www.oal.ca.gov/) section 8651.

(Reference [California Revenue and Taxation
Code](http://www.oal.ca.gov/) 8651-8651.8, and [California Business and
Professions Code](http://www.oal.ca.gov/) 13404 and 13470)
",,2013-09-29 00:00:00 UTC,FALSE,260,Laws and Regulations,,2014-12-19 00:29:32 UTC,,,,,ETH|NG|LPG,,FUEL,PURCH|FLEET|IND,http://www.oal.ca.gov/|http://www.oal.ca.gov/
4272,CO,Alternative Fuel Vehicle (AFV) Weight Exemption,"Gross vehicle weight rating limits for AFVs are 2,000 pounds greater
than those for comparable conventional vehicles, as long as the AFVs
operate using an alternative fuel or both alternative and conventional
fuel, when operating on a highway that is not part of the interstate
system. For the purpose of this exemption, alternative fuel is defined
as compressed natural gas, propane, ethanol, or any mixture containing
85% or more ethanol (E85) with gasoline or other fuels, electricity, or
any other fuels, which may include clean diesel and reformulated
gasoline, so long as the Colorado Air Quality Control Commission
determines that these other fuels result in comparable reductions in
carbon monoxide emissions and brown cloud pollutants. (Reference
[Colorado Revised
Statutes](http://www.lexisnexis.com/hottopics/Colorado/) 42-4-508 and
24-30-1104 (2)(c)(III)(A))
",2016-05-04 00:00:00 UTC,,FALSE,35,State Incentives,,2016-07-12 17:14:47 UTC,,,,,AFTMKTCONV|ELEC|HY|NG|PHEV|LPG,EXEM,,FLEET|GOV|IND,http://tornado.state.co.us/gov_dir/leg_dir/olls/digest_of_bills.htm|http://www.lexisnexis.com/hottopics/michie/
4388,IL,Alternative Fuel Vehicle Labeling Requirement,"Vehicles powered by liquefied petroleum gas (propane) or compressed
natural gas (CNG) must visibly display identifying decals, as
established by the National Fire Protection Association\'s standards for
the Storage and Handling of Liquefied Petroleum Gases and for CNG
Vehicular Fuel Systems. (Reference 625 [Illinois Compiled
Statutes](http://www.ilga.gov/legislation/ilcs/ilcs.asp) 5/12-704.3)
",1993-08-20 00:00:00 UTC,,FALSE,170,Laws and Regulations,,,,,,,NG|LPG,,REGIS,FLEET|GOV|IND,
4404,IN,Propane Vehicle Decals,"An individual may place propane into the fuel tank of a motor vehicle
only if the vehicle has a valid alternative fuel decal affixed to the
front windshield or the individual has applied for a decal within the
last 30 days. The cost of the decal varies according to vehicle type and
the gross vehicle weight rating. The annual fee may be prorated if the
vehicle is newly purchased, registered in Indiana, or converted to
operate using an alternative fuel. For propane vehicles registered
outside of Indiana, owners must purchase a temporary trip permit from a
licensed propane dealer. For more information, see the Indiana
Department of Revenue [Fuel Tax Forms](http://www.in.gov/dor/3512.htm)
website. (Reference [Indiana
Code](http://www.in.gov/legislative/ic/code/) 6-6-14 and 6-6-2.5-67)
",,2014-03-27 00:00:00 UTC,FALSE,95,Laws and Regulations,,,,,,,LPG,,FUEL,PURCH|FLEET|GOV|IND,http://www.in.gov/legislative/|http://www.in.gov/legislative/ic/code/
4547,MT,Alternative Fuel Vehicle (AFV) Conversion Tax Credit,"Businesses and individuals are eligible for an income tax credit of up
to 50% of the equipment and labor costs for converting vehicles to
operate using alternative fuels. Qualified alternative fuels include
natural gas, propane, hydrogen, electricity, and fuels containing at
least 85% ethanol, methanol, ether, or another alcohol. The maximum
credit is \$500 for the conversion of vehicles with a gross vehicle
weight rating (GVWR) of 10,000 pounds (lbs.) or less and \$1,000 for
vehicles with a GVWR of more than 10,000 lbs. The credit is only
available for the year the business or individual converts the vehicle.
An alternative fuel seller may not receive a credit for converting its
own vehicles to operate on the alternative fuel it sells. (Reference
[Montana Code Annotated](https://leg.mt.gov/bills/mca/index.html)
15-30-2320)
",,,FALSE,7,State Incentives,,,,,,,AFTMKTCONV|BIOD|ETH|ELEC|HY|NG|PHEV|LPG,TAX,,MAN|FLEET|IND,https://leg.mt.gov/bills/mca/index.html
4780,VA,High Occupancy Vehicle (HOV) Lane Exemption,"Alternative fuel vehicles (AFVs) displaying the Virginia Clean Special
Fuel license plate may use Virginia HOV lanes on specified areas of
I-64, I-264, the Dulles Toll Road, and in the City of Alexandria,
regardless of the number of occupants. For HOV lanes serving the I-66
corridor, only registered vehicles displaying Clean Special Fuel license
plates issued before July 1, 2011, are exempt from HOV lane
requirements. Only dedicated AFVs are eligible; see the [Virginia
Department of Motor
Vehicles](http://www.dmv.state.va.us/webdoc/citizen/vehicles/cleanspecialfuel.asp)
website for a complete list of qualifying vehicles. The annual fee for
Clean Special Fuel license plates is \$25 in addition to the prescribed
fee for commonwealth license plates. This exemption expires September
30, 2025. For more information, see the Virginia Department of
Transportation [HOV
Lanes](http://www.virginiadot.org/travel/hov-default.asp) website.
(Reference [Virginia Code](http://lis.virginia.gov/000/src.htm) 33.2-501
and 46.2-749.3)
",,2012-04-18 00:00:00 UTC,FALSE,25,State Incentives,,2015-09-10 19:28:49 UTC,,,,,ELEC|HEV|HY|NG|PHEV|LPG,EXEM,,FLEET|GOV|IND,http://lis.virginia.gov/000/src.htm
4789,VA,Alternative Fuel and Vehicle Tax,"Alternative fuels used to operate on-road vehicles are taxed at a rate
of \$0.212 per gasoline gallon equivalent (GGE). Alternative fuels are
taxed at the same rate as gasoline and gasohol (5.1% of the statewide
average wholesale price of a gallon of self-serve unleaded regular
gasoline). Refer to the Virginia Department of Motor Vehicles (DMV)
[Fuels Tax Rates and Alternative Fuels
Conversion](https://www.dmv.virginia.gov/commercial/#taxact/tax_rates.asp)
website for fuel-specific GGE calculations.

All-electric vehicles (EVs) registered in Virginia are subject to a
\$88.20 annual license tax at time of registration. For more
information, see the Virginia DMV [Electric
Vehicles](https://www.dmv.virginia.gov/vehicles/#alternative_vehicles.html)
website.

(Reference [Virginia Code](http://lis.virginia.gov/000/src.htm)
58.1-2217 and 58.1-2249)
",2013-04-03 00:00:00 UTC,2014-02-27 00:00:00 UTC,FALSE,65,Laws and Regulations,,,,,,,BIOD|ETH|ELEC|HY|NG|PHEV|LPG,,FUEL,STATION|PURCH|FLEET|IND,http://virginiageneralassembly.gov/|http://lis.virginia.gov/000/src.htm|http://virginiageneralassembly.gov/
4805,WA,Alternative Fuel Vehicle Annual Fee,"Owners of natural gas vehicles (NGVs) and propane powered vehicles are
required to pay an annual license fee, based on gross vehicle weight
rating (GVWR), instead of motor fuel excise taxes. The fee is calculated
as follows:

::: {align=""center""}
  GVWR                             Fee
  -------------------------------- -------
  Less than 10,000 pounds (lbs.)   \$45
  10,001 - 18,000 lbs.             \$80
  18,001 - 28,000 lbs.             \$110
  28,001 - 36,000 lbs.             \$150
  More than 36,000 lbs.            \$250
:::

To determine the actual annual license fee imposed per registration
year, multiply the appropriate dollar amount given in the above schedule
by the motor vehicle fuel tax rate in cents per gallon effective on July
1 of the preceding calendar year, and divide the resulting amount by
\$0.12. There is an additional \$5 handling fee for each license issued.

(Reference [Revised Code of Washington](http://apps.leg.wa.gov/rcw/)
82.38.075)
",,2014-04-04 00:00:00 UTC,FALSE,170,Laws and Regulations,,,,,,,NG|LPG,,FUEL,FLEET|GOV|IND,http://apps.leg.wa.gov/rcw/
4806,WA,Alternative Fuel Vehicle (AFV) Emissions Inspection Exemption,"AFVs powered exclusively by electric, natural gas, and propane vehicles
are exempt from state emissions control inspections. Plug-in hybrid
electric vehicles that obtain a U.S. Environmental Protection Agency
fuel economy rating of at least 50 miles per gallon during city driving
are also exempt from these inspections. (Reference [Revised Code of
Washington](http://apps.leg.wa.gov/rcw/) 46.16A.060)
",,,FALSE,55,State Incentives,,,,,,,ELEC|NG|LPG,EXEM,,FLEET|GOV|IND,http://apps.leg.wa.gov/rcw/
4841,WI,Alternative Fuel Vehicle and Alternative Fuel Use Policy,"The Wisconsin Department of Administration (DOA) encourages state
employees operating state-owned or leased motor vehicles to use hybrid
electric vehicles or vehicles that operate on gasohol (a motor fuel
containing at least 10% alcohol) or alternative fuels whenever feasible
and cost effective. DOA must place a list of gasohol and alternative
fueling station locations in each state-owned or state-leased motor
vehicle for driver reference. DOA also encourages Wisconsin residents
and state employees who use personal motor vehicles on state business to
use gasohol and alternative fuels. (Reference [Wisconsin
Statutes](http://legis.wisconsin.gov/rsb/stats.html) 16.045)
",,2010-05-20 00:00:00 UTC,FALSE,40,Laws and Regulations,,,,,,,BIOD|ETH|ELEC|HEV|HY|NG|PHEV|LPG,,REQ,FLEET|GOV|IND,http://legis.wisconsin.gov/rsb/stats.html|https://docs.legis.wisconsin.gov/code/executive_orders/2003_jim_doyle/2006-141.pdf
5009,SC,Propane Safety and Liability,"An individual involved in installing propane systems or manufacturing,
distributing, selling, storing, or transporting propane is immune from
the civil liability associated with injury or damage associated with
these activities, as long as the individual was exercising reasonable
care and took steps to warn the end user of the misuses of the propane
system. Any individual that alters or modifies propane equipment must
notify the licensed propane dealer that will use the system of the
repairs or modifications. The state propane board must ensure that the
laws of South Carolina affecting propane are executed faithfully,
institute proceedings for law violations relevant to propane, and
declare and enforce regulations relating to propane and related
equipment. (Reference [South Carolina Code of
Laws](http://www.scstatehouse.gov/code/statmast.php) 15-3-690, 40-82-20,
and 40-82-270)
",,2010-05-13 00:00:00 UTC,FALSE,100,Laws and Regulations,,,,,,,LPG,,AIRQEMISSIONS,STATION|PURCH|FLEET|GOV|IND,http://www.scstatehouse.gov/code/statmast.php
5124,FL,Electric Vehicle (EV) Insurance Regulation,"Insurance companies may not impose surcharges on EVs based on factors
such as new technology, passenger payload, weight-to-horsepower ratio,
and the types of material used to manufacture the vehicle, unless the
Florida Office of Insurance Regulation receives actuarial data that
determines the surcharges are justified. (Reference [Florida
Statutes](http://www.flsenate.gov/Laws/) 627.06535)
",,,FALSE,66,Laws and Regulations,,,,,,,ELEC|PHEV,,OTHER,FLEET|GOV|IND,http://www.flsenate.gov/Laws/
5137,SD,Propane Tax Exemption,"Propane is exempt from the state fuel excise tax when sold from a
licensed propane vendor to a licensed propane user or a propane vehicle
owner if it is delivered into a bulk storage tank that can then be used
to deliver fuel into a motor vehicle. Fuel purchasers must obtain a
propane user license before propane is delivered into their storage
tanks. (Reference [South Dakota
Statutes](http://sdlegislature.gov/Statutes/Codified_Laws/default.aspx)
10-47B-167)
",,,FALSE,25,State Incentives,,,,,,,LPG,EXEM|TAX,,STATION|PURCH|FLEET|IND,http://legis.sd.gov/Statutes/Codified_Laws/default.aspx
5169,KS,Alternative Fuel Vehicle (AFV) Tax Credit,"An income tax credit is available for 40% of the incremental or
conversion cost for qualified AFVs, based on gross vehicle weight rating
(GVWR) as outlined in the table below. following table:

::: {align=""center""}
  GVWR                             Credit
  -------------------------------- ----------------
  Less than 10,000 pounds (lbs.)   Up to \$2,400
  10,000 to 26,000 lbs.            Up to \$4,000
  Over 26,000 lbs.                 Up to \$40,000
:::

Alternatively, a tax credit of 5% of the cost of the AFV, up to \$750,
is available for the purchase of an original equipment manufacturer AFV.
Qualified AFVs include vehicles that operate on a combustible liquid
derived from grain starch, oil seed, animal fat, or other biomass, or
produced from a biogas source. This credit is allowed only to the first
individual to take title of the vehicle. For motor vehicles capable of
operating on E85, the individual claiming the credit must provide
evidence of purchasing at least 500 gallons of E85 between the time the
vehicle was purchased and December 31, of the following calendar year.
Excess credits may be carried over for up to three years after the year
in which the expenditures were made. The credit is only available to
entities with corporate income tax liability. For more information, see
the [Alternative Fuel Tax
Credit](https://www.ksrevenue.org/prtaxcredits-altfuel.html) website.
(Reference [Kansas Statutes](http://www.kslegislature.org/li//)
79-32,201)
",,2012-07-01 00:00:00 UTC,FALSE,10,State Incentives,,,,,,,AFTMKTCONV|BIOD|ETH|NG|LPG,TAX,,MAN|FLEET|IND,http://www.kslegislature.org/li/statute/
5183,GA,High Occupancy Vehicle (HOV) and High Occupancy Toll (HOT) Lane Exemption,"Alternative fuel vehicles (AFVs) displaying the proper alternative fuel
license plate may use HOV and HOT lanes, regardless of the number of
passengers. Qualified AFVs may also use the HOT lanes toll-free. AFVs
include plug-in electric vehicles and bi-fuel or dual-fuel vehicles that
operate on natural gas or propane. Applicants must provide proof they
have paid registration fees in full before receiving the license plate.
This exemption expires September 30, 2025. For more information on fees
and eligibility for the AFV license plate, see the [Georgia Department
of Public Safety](https://dps.georgia.gov/i-85-expres-lanes-hot-lanes)
websites. (Reference [Georgia
Code](http://www.legis.ga.gov/en-US/default.aspx) 32-9-4, 40-2-86.1, and
40-6-54)
",2009-11-05 00:00:00 UTC,2015-05-04 00:00:00 UTC,FALSE,45,State Incentives,,2015-05-05 18:13:50 UTC,2025-10-01 00:00:00 UTC,,,,AFTMKTCONV|ELEC|HY|NG|PHEV|LPG,EXEM,,FLEET|GOV|IND,http://www.legis.ga.gov/en-US/default.aspx|http://www.legis.ga.gov/en-US/default.aspx
5236,IA,Alternative Fuel Vehicle (AFV) Demonstration Grant Authorization,"The Iowa Department of Natural Resources (Department) may award
demonstration grants to individuals who purchase vehicles that operate
on alternative fuels, including but not limited to E85, biodiesel,
compressed natural gas, electricity, solar energy, or hydrogen.
Individuals may use the grants to conduct research connected with the
fuel or vehicle. Grant funding to purchase the vehicle is available if
the Department retains the title of the vehicle, the vehicle is used for
research, and the proceeds from the eventual sale of the vehicle are
used for additional research. Grants are subject to funding
availability. (Reference [Iowa Code](https://www.legis.iowa.gov/)
214A.19)
",,2019-05-10 00:00:00 UTC,FALSE,63,Laws and Regulations,,2019-07-09 17:52:56 UTC,,,,,BIOD|ETH|ELEC|HY|NG|PHEV,,OTHER,FLEET|IND,https://www.legis.iowa.gov/|https://www.legis.iowa.gov/
5267,NV,Alternative Fuel Vehicle (AFV) and Hybrid Electric Vehicle (HEV) Emissions Inspection Exemption,"AFVs are exempt from Nevada\'s emissions testing requirements. A new HEV
is exempt from emissions inspection testing for the first five model
years, after which the vehicle must comply with emissions inspection
testing requirements on an annual basis. For more information, see the
[Nevada Emissions Control Program](http://www.dmvnv.com/emission.htm)
website. (Reference [Nevada Revised
Statutes](http://www.leg.state.nv.us/law1.cfm) 445B.770 and 445B.825)
",,,FALSE,15,State Incentives,,,,,,,ELEC|HEV|HY|NG|PHEV|LPG,EXEM,,FLEET|GOV|IND,http://www.leg.state.nv.us/law1.cfm
